state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030004,P0060004,P0030005,P0030003,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_native,pr_native+,pr_asian,pr_black_afr_am
02,013,000100,1,1170,326,179,219,96,123,448,186,02,013,000100,1,020130001001,1170,0.27863247863247864,0.18717948717948718,0.08205128205128205,0.10512820512820513,0.38290598290598293,0.15897435897435896
02,013,000100,2,993,166,108,106,399,424,343,9,02,013,000100,2,020130001002,993,0.16717019133937563,0.1067472306143001,0.40181268882175225,0.4269889224572004,0.34541792547834843,0.00906344410876133
02,013,000100,3,978,168,138,60,381,417,339,24,02,013,000100,3,020130001003,978,0.17177914110429449,0.06134969325153374,0.3895705521472393,0.4263803680981595,0.34662576687116564,0.024539877300613498
02,016,000100,1,1185,289,272,60,589,645,178,32,02,016,000100,1,020160001001,1185,0.2438818565400844,0.05063291139240506,0.4970464135021097,0.5443037974683544,0.150210970464135,0.0270042194092827
02,016,000200,1,1913,648,546,259,75,90,790,137,02,016,000200,1,020160002001,1913,0.3387349712493466,0.1353894406691061,0.03920543648719289,0.04704652378463147,0.41296393099843176,0.07161526398327235
02,016,000200,2,2463,1067,927,407,193,265,638,163,02,016,000200,2,020160002002,2463,0.4332115306536744,0.16524563540397888,0.07835972391392611,0.10759236703207471,0.25903369874137233,0.06617945594803086
02,020,000101,1,559,442,435,16,58,72,32,9,02,020,000101,1,020200001011,559,0.7906976744186046,0.028622540250447227,0.1037567084078712,0.12880143112701253,0.057245080500894455,0.016100178890876567
02,020,000101,2,1867,1633,1582,74,78,161,17,12,02,020,000101,2,020200001012,1867,0.8746652383502946,0.03963577932512052,0.04177825388323514,0.08623460096411355,0.009105516871987145,0.006427423674343867
02,020,000101,3,3310,2876,2805,119,159,277,24,36,02,020,000101,3,020200001013,3310,0.8688821752265861,0.03595166163141994,0.04803625377643504,0.0836858006042296,0.0072507552870090634,0.010876132930513595
02,020,000102,1,931,793,773,36,53,82,19,2,02,020,000102,1,020200001021,931,0.8517722878625135,0.03866809881847476,0.05692803437164339,0.08807733619763695,0.02040816326530612,0.0021482277121374865
02,020,000102,2,1405,1168,1139,57,87,181,14,7,02,020,000102,2,020200001022,1405,0.8313167259786477,0.040569395017793594,0.06192170818505338,0.1288256227758007,0.0099644128113879,0.00498220640569395
02,020,000102,3,1089,930,907,41,63,116,17,2,02,020,000102,3,020200001023,1089,0.8539944903581267,0.03764921946740129,0.05785123966942149,0.10651974288337925,0.015610651974288337,0.0018365472910927456
02,020,000102,4,1834,1500,1468,67,83,172,71,37,02,020,000102,4,020200001024,1834,0.8178844056706652,0.03653217011995638,0.04525627044711014,0.09378407851690294,0.03871319520174482,0.020174482006543076
02,020,000201,1,2213,1828,1739,134,112,186,63,62,02,020,000201,1,020200002011,2213,0.8260280162675102,0.0605512878445549,0.05061003163126977,0.08404880253050158,0.028468142792589246,0.028016267510167194
02,020,000201,2,1897,1453,1367,158,103,202,44,69,02,020,000201,2,020200002012,1897,0.7659462308908803,0.08328940432261465,0.05429625724828677,0.10648392198207696,0.02319451765946231,0.03637322087506589
02,020,000202,1,1188,885,850,100,83,150,45,24,02,020,000202,1,020200002021,1188,0.7449494949494949,0.08417508417508418,0.06986531986531987,0.12626262626262627,0.03787878787878788,0.020202020202020204
02,020,000202,2,1611,1395,1352,73,32,75,55,21,02,020,000202,2,020200002022,1611,0.8659217877094972,0.04531346989447548,0.019863438857852266,0.04655493482309125,0.03414028553693358,0.01303538175046555
02,020,000202,3,1514,1312,1241,91,68,105,30,12,02,020,000202,3,020200002023,1514,0.8665785997357992,0.06010568031704095,0.04491413474240423,0.06935270805812417,0.019815059445178335,0.007926023778071334
02,020,000202,4,1634,1395,1332,85,82,137,25,40,02,020,000202,4,020200002024,1634,0.8537331701346389,0.052019583843329255,0.05018359853121175,0.08384332925336598,0.015299877600979192,0.02447980416156671
02,020,000203,1,1198,1020,996,47,48,90,18,32,02,020,000203,1,020200002031,1198,0.8514190317195326,0.03923205342237062,0.04006677796327212,0.07512520868113523,0.015025041736227046,0.02671118530884808
02,020,000203,2,2199,1965,1915,73,48,95,65,19,02,020,000203,2,020200002032,2199,0.8935879945429741,0.03319690768531151,0.021828103683492497,0.04320145520691223,0.02955889040472942,0.008640291041382447
02,020,000203,3,4079,3476,3305,252,70,151,113,170,02,020,000203,3,020200002033,4079,0.8521696494238784,0.06177984800196126,0.017161068889433684,0.03701887717577838,0.027702868350085806,0.04167688158862466
02,020,000203,4,1684,1436,1370,110,51,75,55,32,02,020,000203,4,020200002034,1684,0.8527315914489311,0.06532066508313539,0.030285035629453682,0.04453681710213777,0.032660332541567694,0.019002375296912115
02,020,000203,5,1389,1174,1116,110,31,53,45,36,02,020,000203,5,020200002035,1389,0.8452123830093593,0.07919366450683946,0.022318214542836574,0.03815694744420446,0.032397408207343416,0.02591792656587473
02,020,000204,1,1518,1365,1352,48,40,68,21,8,02,020,000204,1,020200002041,1518,0.8992094861660079,0.03162055335968379,0.026350461133069828,0.04479578392621871,0.01383399209486166,0.005270092226613966
02,020,000204,2,1863,1508,1452,77,148,210,39,48,02,020,000204,2,020200002042,1863,0.809447128287708,0.041331186258722494,0.0794417606011809,0.11272141706924316,0.020933977455716585,0.02576489533011272
02,020,000300,1,8000,5955,5363,1060,124,251,154,971,02,020,000300,1,020200003001,8000,0.744375,0.1325,0.0155,0.031375,0.01925,0.121375
02,020,000400,1,5937,4662,4272,663,44,139,137,565,02,020,000400,1,020200004001,5937,0.7852450732693279,0.11167256189994947,0.00741115041266633,0.023412497894559542,0.023075627421256528,0.09516590870810174
02,020,000500,1,768,537,512,48,72,110,39,34,02,020,000500,1,020200005001,768,0.69921875,0.0625,0.09375,0.14322916666666666,0.05078125,0.044270833333333336
02,020,000500,2,1220,497,436,199,91,140,272,96,02,020,000500,2,020200005002,1220,0.40737704918032785,0.16311475409836065,0.07459016393442623,0.11475409836065574,0.22295081967213115,0.07868852459016394
02,020,000600,1,460,171,159,25,222,234,9,33,02,020,000600,1,020200006001,460,0.3717391304347826,0.05434782608695652,0.4826086956521739,0.508695652173913,0.01956521739130435,0.07173913043478261
02,020,000600,2,1262,296,263,169,141,228,295,119,02,020,000600,2,020200006002,1262,0.23454833597464342,0.13391442155309033,0.11172741679873217,0.18066561014263074,0.23375594294770205,0.09429477020602219
02,020,000600,3,882,324,293,78,110,175,138,96,02,020,000600,3,020200006003,882,0.3673469387755102,0.08843537414965986,0.12471655328798185,0.1984126984126984,0.1564625850340136,0.10884353741496598
02,020,000600,4,1075,313,294,104,206,284,145,158,02,020,000600,4,020200006004,1075,0.2911627906976744,0.09674418604651162,0.19162790697674417,0.2641860465116279,0.13488372093023257,0.1469767441860465
02,020,000600,5,1336,317,273,159,204,337,240,212,02,020,000600,5,020200006005,1336,0.2372754491017964,0.11901197604790419,0.15269461077844312,0.2522455089820359,0.17964071856287425,0.15868263473053892
02,020,000600,6,771,222,192,94,94,123,210,88,02,020,000600,6,020200006006,771,0.28793774319066145,0.1219195849546044,0.1219195849546044,0.15953307392996108,0.2723735408560311,0.11413748378728923
02,020,000600,7,1079,277,236,151,209,272,174,158,02,020,000600,7,020200006007,1079,0.2567191844300278,0.13994439295644115,0.1936978683966636,0.2520852641334569,0.16126042632066728,0.1464318813716404
02,020,000600,8,882,181,150,141,111,185,145,205,02,020,000600,8,020200006008,882,0.20521541950113378,0.1598639455782313,0.12585034013605442,0.20975056689342403,0.16439909297052155,0.23242630385487528
02,020,000701,1,2497,1237,1125,283,265,421,194,314,02,020,000701,1,020200007011,2497,0.49539447336804165,0.11333600320384461,0.10612735282338806,0.16860232278734483,0.0776932318782539,0.12575090108129755
02,020,000701,2,1278,701,634,150,103,184,72,226,02,020,000701,2,020200007012,1278,0.5485133020344288,0.11737089201877934,0.08059467918622848,0.14397496087636932,0.056338028169014086,0.17683881064162754
02,020,000701,3,979,441,410,115,154,219,159,73,02,020,000701,3,020200007013,979,0.45045965270684374,0.11746680286006128,0.15730337078651685,0.2236976506639428,0.16241062308478038,0.0745658835546476
02,020,000701,4,1195,740,689,118,84,126,76,158,02,020,000701,4,020200007014,1195,0.6192468619246861,0.09874476987447699,0.07029288702928871,0.10543933054393305,0.06359832635983263,0.1322175732217573
02,020,000702,1,1098,502,456,101,101,162,142,160,02,020,000702,1,020200007021,1098,0.45719489981785066,0.09198542805100182,0.09198542805100182,0.14754098360655737,0.12932604735883424,0.14571948998178508
02,020,000702,2,1732,815,738,193,190,310,118,259,02,020,000702,2,020200007022,1732,0.470554272517321,0.11143187066974596,0.10969976905311778,0.1789838337182448,0.06812933025404157,0.14953810623556582
02,020,000702,3,2277,1323,1234,161,171,268,184,264,02,020,000702,3,020200007023,2277,0.5810276679841897,0.0707070707070707,0.07509881422924901,0.11769872639437857,0.08080808080808081,0.11594202898550725
02,020,000703,1,1128,597,570,76,249,308,49,86,02,020,000703,1,020200007031,1128,0.5292553191489362,0.0673758865248227,0.22074468085106383,0.2730496453900709,0.04343971631205674,0.07624113475177305
02,020,000703,2,886,406,366,83,184,228,27,121,02,020,000703,2,020200007032,886,0.4582392776523702,0.09367945823927765,0.2076749435665914,0.25733634311512416,0.030474040632054177,0.136568848758465
02,020,000703,3,1122,554,501,110,116,193,94,167,02,020,000703,3,020200007033,1122,0.49376114081996436,0.09803921568627451,0.10338680926916222,0.17201426024955438,0.08377896613190731,0.14884135472370766
02,020,000703,4,1381,415,377,89,135,204,616,70,02,020,000703,4,020200007034,1381,0.3005068790731354,0.06444605358435916,0.09775524981897175,0.14771904417089066,0.44605358435916004,0.05068790731354091
02,020,000703,5,1189,637,595,91,70,151,112,145,02,020,000703,5,020200007035,1189,0.535744322960471,0.07653490328006729,0.05887300252312868,0.12699747687132043,0.0941968040370059,0.12195121951219512
02,020,000801,1,1216,547,491,154,132,215,140,121,02,020,000801,1,020200008011,1216,0.4498355263157895,0.12664473684210525,0.10855263157894737,0.1768092105263158,0.11513157894736842,0.09950657894736842
