Code,Name,ID,District,D-Pres Vote,R-Pres Vote,TP-Pres Vote,D-Dist Vote,R-Dist Vote,Contested,AREA,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,sumTOTALPOP,sumWHITE,sumBLACK,sumNATIVE,sumASIAN,sumPACISLAND,sumOTHER,sumTWO_PLUS,sumHISPANIC,sumNATALNCOMB,sumMALE,sumFEMALE,sumGRPQTRS,sumHOUSEUNITS,sumVACANT,sumOCCUPIED,sumOWNED,sumRENTED,count,County,Incumbent D,Incumbent R,Winner,Reg. Voters,Reg. D-Voters,Reg. R-Voters,Reg. N-Voters,Reg. U-Voters,pr_D-Pres,pr_R-Pres,pr_TP=Pres,pr_White,pr_Native,pop_dens
01-480,Fairbanks No. 5,270,1,228,365,83,487,NA,D,0.73,2885,1622,1263,0.7787,2885,1929,165,307,178,26,57,223,214,419,1481,1404,11,1283,111,1172,589,583,62,Fairbanks North Star Borough,1,0,D,2092,306,577,348,783,0.337278107,0.539940828,0.122781065,0.668630849,0.106412478,3952.054795
01-465,Fairbanks No. 2,267,1,120,157,41,233,NA,D,0.47,1542,1622,-80,-0.0493,1542,973,92,317,39,1,20,100,82,393,777,765,24,1039,144,895,141,754,77,Fairbanks North Star Borough,1,0,D,1151,226,253,152,446,0.377358491,0.493710692,0.128930818,0.630998703,0.205577173,3280.851064
01-485,Fairbanks No. 6,271,1,119,182,42,264,NA,D,1.85,2483,1622,861,0.5308,2483,1335,344,433,105,15,37,214,155,536,1356,1127,387,883,97,786,271,515,90,Fairbanks North Star Borough,1,0,D,1393,250,311,199,566,0.346938776,0.530612245,0.12244898,0.537656061,0.174385824,1342.162162
01-446, Aurora,266,1,295,434,110,633,NA,D,1.55,2995,1622,1373,0.8465,3045,2173,123,359,92,3,59,236,192,518,1552,1493,7,1459,232,1227,700,527,110,Fairbanks North Star Borough,1,0,D,2488,370,658,400,954,0.351609058,0.517282479,0.131108462,0.7136289,0.117898194,1932.258065
01-490,Fairbanks No. 7,272,1,216,228,45,398,NA,D,1.48,3010,1622,1388,0.8557,3010,1617,372,512,139,20,58,292,247,694,1539,1471,229,1265,99,1166,320,846,111,Fairbanks North Star Borough,1,0,D,1875,392,397,275,701,0.441717791,0.466257669,0.09202454,0.537209302,0.170099668,2033.783784
01-470,Fairbanks No. 3,268,1,205,218,55,356,NA,D,0.4,1872,1622,250,0.1541,1872,1244,117,277,50,3,43,138,119,341,953,919,120,1032,131,901,370,531,63,Fairbanks North Star Borough,1,0,D,1451,283,313,278,509,0.428870293,0.456066946,0.115062762,0.664529915,0.147970085,4680
01-475,Fairbanks No. 4,269,1,86,149,28,181,NA,D,0.56,1143,1622,-479,-0.2953,1153,759,48,195,30,0,15,106,69,259,583,570,95,503,73,430,209,221,43,Fairbanks North Star Borough,1,0,D,774,116,168,139,307,0.326996198,0.566539924,0.106463878,0.658282741,0.169124024,2041.071429
01-495,Fairbanks No. 10,273,1,58,119,13,123,NA,D,0.59,1137,1622,-485,-0.299,1137,785,109,99,44,2,27,71,87,120,581,556,29,605,56,549,131,418,22,Fairbanks North Star Borough,1,0,D,840,135,240,132,297,0.305263158,0.626315789,0.068421053,0.690413369,0.08707124,1927.118644
01-455,Fairbanks No. 1,329,1,65,113,13,142,NA,D,0.58,659,1622,-963,-0.5937,649,494,18,73,15,0,13,36,40,94,333,316,0,338,33,305,146,159,54,Fairbanks North Star Borough,1,0,D,502,88,123,94,168,0.340314136,0.591623037,0.068062827,0.761171032,0.11248074,1136.206897
02-365,Fairbanks No. 9,276,2,256,558,86,216,706,B,1.13,3939,1622,2317,1.4285,3939,2751,344,233,144,41,87,339,352,389,2003,1936,48,1539,148,1391,720,671,104,Fairbanks North Star Borough,0,1,R,2862,434,850,405,1050,0.284444444,0.62,0.095555556,0.698400609,0.059152069,3485.840708
