state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
25,017,300100,1,1618,1565,1554,24,4,12,537,25,017,300100,1,250173001001,1618,0.9672435105067985,0.014833127317676144,0.002472187886279357,0.007416563658838072,0.3318912237330037
25,017,300100,2,1456,1421,1400,33,6,0,477,25,017,300100,2,250173001002,1456,0.9759615384615384,0.022664835164835164,0.004120879120879121,0.0,0.3276098901098901
25,017,301101,1,1886,1802,1776,37,26,16,583,25,017,301101,1,250173011011,1886,0.9554612937433722,0.019618239660657476,0.013785790031813362,0.008483563096500531,0.3091198303287381
25,017,301101,2,1210,1143,1123,34,19,12,382,25,017,301101,2,250173011012,1210,0.9446280991735537,0.02809917355371901,0.015702479338842976,0.009917355371900827,0.315702479338843
25,017,301101,3,928,900,882,20,4,8,258,25,017,301101,3,250173011013,928,0.9698275862068966,0.021551724137931036,0.004310344827586207,0.008620689655172414,0.27801724137931033
25,017,301102,1,1281,1239,1221,20,17,6,341,25,017,301102,1,250173011021,1281,0.9672131147540983,0.0156128024980484,0.01327088212334114,0.00468384074941452,0.26619828259172523
25,017,301102,2,2091,2043,2016,36,6,7,696,25,017,301102,2,250173011022,2091,0.9770444763271162,0.01721664275466284,0.0028694404591104736,0.003347680535628886,0.3328550932568149
25,017,301102,3,1530,1497,1488,16,3,7,516,25,017,301102,3,250173011023,1530,0.9784313725490196,0.01045751633986928,0.00196078431372549,0.004575163398692811,0.33725490196078434
25,017,310100,1,1448,995,843,309,90,145,46,25,017,310100,1,250173101001,1448,0.6871546961325967,0.21339779005524862,0.062154696132596686,0.10013812154696132,0.031767955801104975
25,017,310100,2,1972,1549,1353,407,66,136,419,25,017,310100,2,250173101002,1972,0.7854969574036511,0.2063894523326572,0.033468559837728194,0.06896551724137931,0.21247464503042596
25,017,310100,3,1847,982,658,686,143,285,61,25,017,310100,3,250173101003,1847,0.531672983216026,0.3714131023280996,0.07742284786139686,0.15430427720628045,0.03302652950730915
25,017,310200,1,1115,936,897,103,54,50,316,25,017,310200,1,250173102001,1115,0.8394618834080717,0.09237668161434978,0.0484304932735426,0.04484304932735426,0.28340807174887894
25,017,310200,2,911,718,685,86,67,53,259,25,017,310200,2,250173102002,911,0.7881448957189902,0.09440175631174534,0.07354555433589462,0.05817782656421515,0.2843029637760702
25,017,310200,3,1562,863,634,503,130,222,173,25,017,310200,3,250173102003,1562,0.5524967989756722,0.3220230473751601,0.08322663252240717,0.14212548015364918,0.11075544174135724
25,017,310200,4,1111,801,689,214,86,93,165,25,017,310200,4,250173102004,1111,0.720972097209721,0.1926192619261926,0.0774077407740774,0.08370837083708371,0.1485148514851485
25,017,310200,5,1277,920,815,207,118,106,257,25,017,310200,5,250173102005,1277,0.7204385277995301,0.1620986687548943,0.09240407204385279,0.08300704776820673,0.20125293657008614
25,017,310300,1,1465,1004,902,251,101,177,345,25,017,310300,1,250173103001,1465,0.6853242320819113,0.17133105802047782,0.0689419795221843,0.12081911262798635,0.2354948805460751
25,017,310300,2,1618,924,673,556,163,203,184,25,017,310300,2,250173103002,1618,0.5710754017305315,0.34363411619283063,0.10074165636588381,0.12546353522867737,0.11372064276885044
25,017,310300,3,1196,781,619,316,124,94,195,25,017,310300,3,250173103003,1196,0.653010033444816,0.26421404682274247,0.10367892976588629,0.07859531772575251,0.16304347826086957
25,017,310300,4,852,587,502,174,71,79,143,25,017,310300,4,250173103004,852,0.6889671361502347,0.20422535211267606,0.08333333333333333,0.09272300469483569,0.16784037558685447
25,017,310300,5,885,687,626,118,45,61,205,25,017,310300,5,250173103005,885,0.7762711864406779,0.13333333333333333,0.05084745762711865,0.06892655367231638,0.23163841807909605
25,017,310400,1,1184,609,384,508,156,123,142,25,017,310400,1,250173104001,1184,0.5143581081081081,0.42905405405405406,0.13175675675675674,0.10388513513513513,0.11993243243243243
25,017,310400,2,1125,764,597,294,128,91,207,25,017,310400,2,250173104002,1125,0.6791111111111111,0.2613333333333333,0.11377777777777778,0.08088888888888889,0.184
25,017,310400,3,936,504,390,321,145,72,79,25,017,310400,3,250173104003,936,0.5384615384615384,0.34294871794871795,0.15491452991452992,0.07692307692307693,0.08440170940170941
25,017,310500,1,937,681,638,98,94,94,143,25,017,310500,1,250173105001,937,0.7267876200640342,0.10458911419423693,0.10032017075773746,0.10032017075773746,0.1526147278548559
25,017,310500,2,1377,890,793,202,254,86,169,25,017,310500,2,250173105002,1377,0.6463326071169209,0.1466957153231663,0.18445896877269427,0.06245461147421932,0.12273057371096587
25,017,310500,3,1135,852,800,133,137,53,196,25,017,310500,3,250173105003,1135,0.7506607929515419,0.1171806167400881,0.12070484581497798,0.04669603524229075,0.1726872246696035
25,017,310601,1,2211,1491,1298,353,428,93,424,25,017,310601,1,250173106011,2211,0.6743554952510177,0.15965626413387607,0.19357756671189508,0.04206241519674356,0.1917684305744007
25,017,310601,2,2751,2137,2057,154,353,138,730,25,017,310601,2,250173106012,2751,0.7768084332969829,0.05597964376590331,0.12831697564521993,0.05016357688113413,0.2653580516175936
