state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
25,017,300100,3074,2986,2954,57,10,12,1014,25,017,300100,25017300100,3074,0.9713728041639558,0.018542615484710475,0.0032530904359141183,0.003903708523096942,0.3298633702016916
25,017,301101,4024,3845,3781,91,49,36,1223,25,017,301101,25017301101,4024,0.9555168986083499,0.022614314115308152,0.012176938369781311,0.008946322067594433,0.3039264413518887
25,017,301102,4902,4779,4725,72,26,20,1553,25,017,301102,25017301102,4902,0.9749082007343941,0.014687882496940025,0.005303957568339453,0.004079967360261118,0.3168094655242758
25,017,310100,5267,3526,2854,1402,299,566,526,25,017,310100,25017310100,5267,0.6694513005505981,0.26618568445035123,0.056768558951965066,0.10746155306626162,0.099867097019176
25,017,310200,5976,4238,3720,1113,455,524,1170,25,017,310200,25017310200,5976,0.7091700133868809,0.18624497991967873,0.07613788487282463,0.08768406961178045,0.19578313253012047
25,017,310300,6016,3983,3322,1415,504,614,1072,25,017,310300,25017310300,6016,0.6620678191489362,0.23520611702127658,0.08377659574468085,0.10206117021276596,0.17819148936170212
25,017,310400,3245,1877,1371,1123,429,286,428,25,017,310400,25017310400,3245,0.5784283513097073,0.3460708782742681,0.13220338983050847,0.08813559322033898,0.13189522342064716
25,017,310500,3449,2423,2231,433,485,233,508,25,017,310500,25017310500,3449,0.7025224702812409,0.12554363583647435,0.14062046970136272,0.06755581327921137,0.14728906929544797
25,017,310601,5746,4226,3876,611,869,270,1357,25,017,310601,25017310601,5746,0.7354681517577445,0.10633484162895927,0.15123564218586844,0.04698920988513749,0.2361642882004873
25,017,310602,5825,4356,4076,567,694,361,1296,25,017,310602,25017310602,5825,0.7478111587982833,0.09733905579399142,0.11914163090128756,0.06197424892703863,0.2224892703862661
25,017,310700,4441,2267,2059,776,1171,258,423,25,017,310700,25017310700,4441,0.510470614726413,0.1747354199504616,0.2636793514974105,0.05809502364332358,0.0952488178338212
25,017,311100,2410,865,582,792,825,190,145,25,017,311100,25017311100,2410,0.35892116182572614,0.32863070539419087,0.34232365145228216,0.07883817427385892,0.06016597510373444
25,017,311200,3267,835,711,481,1822,207,330,25,017,311200,25017311200,3267,0.2555861646770738,0.14722987450260178,0.5576981940618304,0.06336088154269973,0.10101010101010101
25,017,311300,4057,1795,1599,520,1551,266,496,25,017,311300,25017311300,4057,0.44244515651959576,0.12817352723687453,0.38230219373921615,0.0655656889327089,0.12225782597978802
25,017,311400,5986,3023,2659,855,1544,687,754,25,017,311400,25017311400,5986,0.505011693952556,0.14283327764784498,0.2579351820915469,0.11476779151353157,0.1259605746742399
25,017,311500,2974,1567,1488,244,979,167,547,25,017,311500,25017311500,2974,0.5268997982515131,0.082044384667115,0.3291862811028917,0.05615332885003362,0.18392737054472091
25,017,311600,5295,3272,3110,458,1375,205,1234,25,017,311600,25017311600,5295,0.6179414542020775,0.08649669499527857,0.25967894239848915,0.03871576959395656,0.23305004721435316
25,017,311700,5098,1881,1606,681,2389,249,783,25,017,311700,25017311700,5098,0.3689682228324833,0.13358179678305218,0.4686151431934092,0.048842683405256965,0.15358964299725383
25,017,311800,3513,1020,797,581,1854,157,348,25,017,311800,25017311800,3513,0.29035012809564475,0.16538571021918588,0.5277540563620837,0.04469114716766297,0.0990606319385141
25,017,311900,2429,1466,1224,590,315,178,190,25,017,311900,25017311900,2429,0.6035405516673528,0.2428983120625772,0.12968299711815562,0.0732811856731165,0.07822149032523672
25,017,312000,2938,1739,1388,716,458,227,344,25,017,312000,25017312000,2938,0.5918992511912866,0.24370319945541186,0.15588835942818244,0.07726344452008169,0.11708645336963922
25,017,312100,3149,1677,1400,658,658,241,383,25,017,312100,25017312100,3149,0.5325500158780565,0.208955223880597,0.208955223880597,0.07653223245474754,0.12162591298825023
25,017,312200,4309,2633,2364,598,924,299,1020,25,017,312200,25017312200,4309,0.6110466465537248,0.1387792991413321,0.21443490368995127,0.06938964957066605,0.23671385472267348
25,017,312300,4931,3834,3573,496,437,250,1267,25,017,312300,25017312300,4931,0.777529912796593,0.10058811600081119,0.08862299736361792,0.05069965524234435,0.2569458527682012
25,017,312400,2354,1396,959,970,183,200,179,25,017,312400,25017312400,2354,0.5930331350892099,0.41206457094307564,0.07774001699235344,0.08496176720475786,0.07604078164825828
25,017,312501,4464,3666,3457,402,298,190,1254,25,017,312501,25017312501,4464,0.821236559139785,0.09005376344086022,0.0667562724014337,0.04256272401433692,0.28091397849462363
25,017,312502,3960,3496,3323,274,171,100,1159,25,017,312502,25017312502,3960,0.8828282828282829,0.0691919191919192,0.04318181818181818,0.025252525252525252,0.2926767676767677
25,017,313101,5488,5004,4933,127,318,35,1691,25,017,313101,25017313101,5488,0.9118075801749271,0.02314139941690962,0.05794460641399417,0.006377551020408163,0.3081268221574344
25,017,313102,5804,5386,5304,138,217,85,1764,25,017,313102,25017313102,5804,0.9279807029634735,0.02377670572019297,0.037388008270158514,0.014645072363886975,0.3039283252929014
