state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110101,1,1436,1346,1306,50,42,25,434,36,103,110101,1,361031101011,1436,0.9373259052924791,0.034818941504178275,0.02924791086350975,0.017409470752089137,0.3022284122562674
36,103,110101,2,2224,2141,2072,70,38,13,673,36,103,110101,2,361031101012,2224,0.9626798561151079,0.03147482014388489,0.0170863309352518,0.005845323741007194,0.30260791366906475
36,103,110102,1,1788,1723,1676,53,38,4,527,36,103,110102,1,361031101021,1788,0.9636465324384788,0.0296420581655481,0.021252796420581657,0.0022371364653243847,0.2947427293064877
36,103,110102,2,1137,1061,1018,64,37,7,325,36,103,110102,2,361031101022,1137,0.9331574318381706,0.056288478452066845,0.032541776605101144,0.006156552330694811,0.2858399296394019
36,103,110102,3,1042,994,968,32,17,19,362,36,103,110102,3,361031101023,1042,0.9539347408829175,0.030710172744721688,0.016314779270633396,0.018234165067178502,0.3474088291746641
36,103,110102,4,1103,1060,1021,45,23,4,327,36,103,110102,4,361031101024,1103,0.9610154125113327,0.04079782411604715,0.02085222121486854,0.003626473254759746,0.2964641885766092
36,103,110200,1,997,943,904,45,24,13,354,36,103,110200,1,361031102001,997,0.9458375125376128,0.04513540621865597,0.024072216649949848,0.013039117352056168,0.3550651955867603
36,103,110200,2,970,919,898,31,28,5,301,36,103,110200,2,361031102002,970,0.9474226804123711,0.031958762886597936,0.0288659793814433,0.005154639175257732,0.31030927835051547
36,103,110200,3,698,677,661,25,5,0,244,36,103,110200,3,361031102003,698,0.9699140401146131,0.03581661891117478,0.0071633237822349575,0.0,0.3495702005730659
36,103,110200,4,1370,1325,1303,24,25,7,551,36,103,110200,4,361031102004,1370,0.9671532846715328,0.017518248175182483,0.01824817518248175,0.0051094890510948905,0.4021897810218978
36,103,110200,5,986,949,926,30,20,2,366,36,103,110200,5,361031102005,986,0.962474645030426,0.030425963488843813,0.02028397565922921,0.002028397565922921,0.3711967545638945
36,103,110300,1,661,641,610,35,9,0,250,36,103,110300,1,361031103001,661,0.9697428139183056,0.0529500756429652,0.01361573373676248,0.0,0.37821482602118
36,103,110300,2,1031,1014,990,27,5,1,377,36,103,110300,2,361031103002,1031,0.9835111542192047,0.026188166828322017,0.004849660523763337,0.0009699321047526673,0.36566440349175555
36,103,110300,3,899,804,747,97,25,16,248,36,103,110300,3,361031103003,899,0.8943270300333704,0.10789766407119021,0.027808676307007785,0.017797552836484983,0.27586206896551724
36,103,110300,4,1467,1386,1322,79,33,19,488,36,103,110300,4,361031103004,1467,0.9447852760736196,0.05385139740967962,0.022494887525562373,0.012951601908657124,0.332651670074983
36,103,110300,5,764,732,719,14,17,7,261,36,103,110300,5,361031103005,764,0.9581151832460733,0.01832460732984293,0.02225130890052356,0.009162303664921465,0.3416230366492147
36,103,110401,1,731,719,697,25,6,2,255,36,103,110401,1,361031104011,731,0.9835841313269493,0.03419972640218878,0.008207934336525308,0.0027359781121751026,0.3488372093023256
36,103,110401,2,1959,1897,1840,70,25,7,670,36,103,110401,2,361031104012,1959,0.9683511995916284,0.03573251659009699,0.012761613067891782,0.0035732516590096988,0.34201123021949975
36,103,110402,1,1682,1612,1563,53,32,12,573,36,103,110402,1,361031104021,1682,0.9583828775267539,0.03151010701545779,0.019024970273483946,0.007134363852556481,0.34066587395957193
36,103,110402,2,1494,1448,1412,43,18,8,520,36,103,110402,2,361031104022,1494,0.9692101740294511,0.028781793842034806,0.012048192771084338,0.00535475234270415,0.34805890227576974
36,103,110501,1,2332,2242,2152,98,52,7,751,36,103,110501,1,361031105011,2332,0.9614065180102916,0.04202401372212693,0.022298456260720412,0.003001715265866209,0.322041166380789
36,103,110501,2,809,766,751,16,21,1,264,36,103,110501,2,361031105012,809,0.9468479604449939,0.019777503090234856,0.02595797280593325,0.0012360939431396785,0.3263288009888752
36,103,110502,1,1479,1317,1263,100,50,42,401,36,103,110502,1,361031105021,1479,0.8904665314401623,0.0676132521974307,0.03380662609871535,0.028397565922920892,0.2711291413116971
36,103,110502,2,1454,1369,1323,58,21,27,441,36,103,110502,2,361031105022,1454,0.9415405777166438,0.039889958734525444,0.014442916093535076,0.018569463548830812,0.3033012379642366
36,103,110600,1,1674,1594,1556,60,36,7,525,36,103,110600,1,361031106001,1674,0.9522102747909199,0.035842293906810034,0.021505376344086023,0.004181600955794504,0.31362007168458783
36,103,110600,2,1576,1530,1466,73,21,8,469,36,103,110600,2,361031106002,1576,0.9708121827411168,0.04631979695431472,0.0133248730964467,0.005076142131979695,0.29758883248730966
36,103,110600,3,2006,1887,1846,71,57,22,572,36,103,110600,3,361031106003,2006,0.940677966101695,0.0353938185443669,0.028414755732801594,0.010967098703888335,0.2851445663010967
36,103,110600,4,1249,1228,1198,35,6,1,364,36,103,110600,4,361031106004,1249,0.9831865492393915,0.02802241793434748,0.004803843074459567,0.0008006405124099279,0.29143314651721375
36,103,110600,5,896,871,850,28,4,5,287,36,103,110600,5,361031106005,896,0.9720982142857143,0.03125,0.004464285714285714,0.005580357142857143,0.3203125
36,103,110801,1,1406,1370,1336,36,13,3,488,36,103,110801,1,361031108011,1406,0.9743954480796586,0.025604551920341393,0.009246088193456615,0.0021337126600284497,0.34708392603129445
36,103,110801,2,684,649,634,21,13,4,227,36,103,110801,2,361031108012,684,0.9488304093567251,0.03070175438596491,0.019005847953216373,0.005847953216374269,0.33187134502923976
