state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110101,3660,3487,3378,120,80,38,1107,36,103,110101,36103110101,3660,0.9527322404371584,0.03278688524590164,0.02185792349726776,0.010382513661202186,0.30245901639344264
36,103,110102,5070,4838,4683,194,115,34,1541,36,103,110102,36103110102,5070,0.954240631163708,0.03826429980276134,0.022682445759368838,0.0067061143984220905,0.3039447731755424
36,103,110200,5021,4813,4692,155,102,27,1816,36,103,110200,36103110200,5021,0.9585739892451702,0.03087034455287791,0.02031467835092611,0.005377414857598088,0.36168094005178253
36,103,110300,4822,4577,4388,252,89,43,1624,36,103,110300,36103110300,4822,0.949191206968063,0.05226047283284944,0.01845707175445873,0.00891746163417669,0.33678971381169637
36,103,110401,2690,2616,2537,95,31,9,925,36,103,110401,36103110401,2690,0.9724907063197026,0.03531598513011153,0.011524163568773234,0.003345724907063197,0.34386617100371747
36,103,110402,3176,3060,2975,96,50,20,1093,36,103,110402,36103110402,3176,0.9634760705289672,0.030226700251889168,0.015743073047858942,0.006297229219143577,0.34414357682619645
36,103,110501,3141,3008,2903,114,73,8,1015,36,103,110501,36103110501,3141,0.9576567971983445,0.03629417382999045,0.02324100604902897,0.0025469595670168737,0.32314549506526585
36,103,110502,2933,2686,2586,158,71,69,842,36,103,110502,36103110502,2933,0.9157858847596317,0.05386975792703717,0.0242072962836686,0.0235254006137061,0.2870780770542107
36,103,110600,7401,7110,6916,267,124,43,2217,36,103,110600,36103110600,7401,0.960680989055533,0.03607620591811917,0.016754492636130252,0.005810025672206459,0.2995541143088772
36,103,110801,2090,2019,1970,57,26,7,715,36,103,110801,36103110801,2090,0.9660287081339712,0.02727272727272727,0.012440191387559809,0.0033492822966507177,0.34210526315789475
36,103,110803,5973,5723,5549,229,89,52,1814,36,103,110803,36103110803,5973,0.9581449857692952,0.03833919303532563,0.014900385066130922,0.008705842959986606,0.3036999832579943
36,103,110901,2654,2467,2317,187,50,72,725,36,103,110901,36103110901,2654,0.9295403165033911,0.07045968349660889,0.018839487565938208,0.027128862094951016,0.273172569706104
36,103,110902,4209,2471,1764,1330,114,919,778,36,103,110902,36103110902,4209,0.5870753148016156,0.3159895462105013,0.0270848182466144,0.2183416488477073,0.18484200522689476
36,103,111001,2089,1709,1549,232,73,185,567,36,103,111001,36103111001,2089,0.8180947821924366,0.11105792245093346,0.034944949736716135,0.08855911919578746,0.2714217328865486
36,103,111002,5171,2843,1852,2538,137,570,888,36,103,111002,36103111002,5171,0.5497969444981629,0.4908141558692709,0.026493908334944884,0.1102301295687488,0.17172693869657707
36,103,111100,8853,4613,2519,4647,269,1383,1461,36,103,111100,36103111100,8853,0.5210663052072744,0.5249068112504236,0.030385180164915846,0.15621823110809896,0.16502880379532361
