state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0070006,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,prop_white,prop_white_not_hisp,prop_hisp_lat,prop_cambodian,prop_asian,prop_black_afr_am,prop_owner_occ
25,017,300100,1,1618,1565,1554,24,10,4,12,537,25,017,300100,1,250173001001,0.9672435105067985,0.9604449938195303,0.014833127317676144,0.006180469715698393,0.002472187886279357,0.007416563658838072,0.3318912237330037
25,017,300100,2,1456,1421,1400,33,13,6,0,477,25,017,300100,2,250173001002,0.9759615384615384,0.9615384615384616,0.022664835164835164,0.008928571428571428,0.004120879120879121,0.0,0.3276098901098901
25,017,301101,1,1886,1802,1776,37,29,26,16,583,25,017,301101,1,250173011011,0.9554612937433722,0.9416755037115588,0.019618239660657476,0.015376458112407211,0.013785790031813362,0.008483563096500531,0.3091198303287381
25,017,301101,2,1210,1143,1123,34,29,19,12,382,25,017,301101,2,250173011012,0.9446280991735537,0.928099173553719,0.02809917355371901,0.023966942148760332,0.015702479338842976,0.009917355371900827,0.315702479338843
25,017,301101,3,928,900,882,20,7,4,8,258,25,017,301101,3,250173011013,0.9698275862068966,0.9504310344827587,0.021551724137931036,0.007543103448275862,0.004310344827586207,0.008620689655172414,0.27801724137931033
25,017,301102,1,1281,1239,1221,20,24,17,6,341,25,017,301102,1,250173011021,0.9672131147540983,0.9531615925058547,0.0156128024980484,0.01873536299765808,0.01327088212334114,0.00468384074941452,0.26619828259172523
25,017,301102,2,2091,2043,2016,36,9,6,7,696,25,017,301102,2,250173011022,0.9770444763271162,0.9641319942611191,0.01721664275466284,0.00430416068866571,0.0028694404591104736,0.003347680535628886,0.3328550932568149
25,017,301102,3,1530,1497,1488,16,6,3,7,516,25,017,301102,3,250173011023,0.9784313725490196,0.9725490196078431,0.01045751633986928,0.00392156862745098,0.00196078431372549,0.004575163398692811,0.33725490196078434
25,017,310100,1,1448,995,843,309,96,90,145,46,25,017,310100,1,250173101001,0.6871546961325967,0.5821823204419889,0.21339779005524862,0.06629834254143646,0.062154696132596686,0.10013812154696132,0.031767955801104975
25,017,310100,2,1972,1549,1353,407,83,66,136,419,25,017,310100,2,250173101002,0.7854969574036511,0.686105476673428,0.2063894523326572,0.04208924949290061,0.033468559837728194,0.06896551724137931,0.21247464503042596
25,017,310100,3,1847,982,658,686,154,143,285,61,25,017,310100,3,250173101003,0.531672983216026,0.3562533838657282,0.3714131023280996,0.08337845154304277,0.07742284786139686,0.15430427720628045,0.03302652950730915
25,017,310200,1,1115,936,897,103,61,54,50,316,25,017,310200,1,250173102001,0.8394618834080717,0.8044843049327354,0.09237668161434978,0.054708520179372194,0.0484304932735426,0.04484304932735426,0.28340807174887894
25,017,310200,2,911,718,685,86,74,67,53,259,25,017,310200,2,250173102002,0.7881448957189902,0.75192096597146,0.09440175631174534,0.08122941822173436,0.07354555433589462,0.05817782656421515,0.2843029637760702
25,017,310200,3,1562,863,634,503,160,130,222,173,25,017,310200,3,250173102003,0.5524967989756722,0.4058898847631242,0.3220230473751601,0.10243277848911651,0.08322663252240717,0.14212548015364918,0.11075544174135724
25,017,310200,4,1111,801,689,214,89,86,93,165,25,017,310200,4,250173102004,0.720972097209721,0.6201620162016201,0.1926192619261926,0.08010801080108011,0.0774077407740774,0.08370837083708371,0.1485148514851485
25,017,310200,5,1277,920,815,207,124,118,106,257,25,017,310200,5,250173102005,0.7204385277995301,0.6382145653876272,0.1620986687548943,0.0971025841816758,0.09240407204385279,0.08300704776820673,0.20125293657008614
25,017,310300,1,1465,1004,902,251,110,101,177,345,25,017,310300,1,250173103001,0.6853242320819113,0.6156996587030716,0.17133105802047782,0.07508532423208192,0.0689419795221843,0.12081911262798635,0.2354948805460751
25,017,310300,2,1618,924,673,556,168,163,203,184,25,017,310300,2,250173103002,0.5710754017305315,0.41594561186650186,0.34363411619283063,0.103831891223733,0.10074165636588381,0.12546353522867737,0.11372064276885044
25,017,310300,3,1196,781,619,316,138,124,94,195,25,017,310300,3,250173103003,0.653010033444816,0.5175585284280937,0.26421404682274247,0.11538461538461539,0.10367892976588629,0.07859531772575251,0.16304347826086957
25,017,310300,4,852,587,502,174,82,71,79,143,25,017,310300,4,250173103004,0.6889671361502347,0.5892018779342723,0.20422535211267606,0.09624413145539906,0.08333333333333333,0.09272300469483569,0.16784037558685447
25,017,310300,5,885,687,626,118,56,45,61,205,25,017,310300,5,250173103005,0.7762711864406779,0.7073446327683616,0.13333333333333333,0.06327683615819209,0.05084745762711865,0.06892655367231638,0.23163841807909605
25,017,310400,1,1184,609,384,508,155,156,123,142,25,017,310400,1,250173104001,0.5143581081081081,0.32432432432432434,0.42905405405405406,0.13091216216216217,0.13175675675675674,0.10388513513513513,0.11993243243243243
25,017,310400,2,1125,764,597,294,127,128,91,207,25,017,310400,2,250173104002,0.6791111111111111,0.5306666666666666,0.2613333333333333,0.11288888888888889,0.11377777777777778,0.08088888888888889,0.184
25,017,310400,3,936,504,390,321,157,145,72,79,25,017,310400,3,250173104003,0.5384615384615384,0.4166666666666667,0.34294871794871795,0.16773504273504272,0.15491452991452992,0.07692307692307693,0.08440170940170941
25,017,310500,1,937,681,638,98,105,94,94,143,25,017,310500,1,250173105001,0.7267876200640342,0.6808964781216649,0.10458911419423693,0.11205976520811099,0.10032017075773746,0.10032017075773746,0.1526147278548559
25,017,310500,2,1377,890,793,202,266,254,86,169,25,017,310500,2,250173105002,0.6463326071169209,0.5758896151053013,0.1466957153231663,0.19317356572258534,0.18445896877269427,0.06245461147421932,0.12273057371096587
25,017,310500,3,1135,852,800,133,140,137,53,196,25,017,310500,3,250173105003,0.7506607929515419,0.7048458149779736,0.1171806167400881,0.12334801762114538,0.12070484581497798,0.04669603524229075,0.1726872246696035
25,017,310601,1,2211,1491,1298,353,459,428,93,424,25,017,310601,1,250173106011,0.6743554952510177,0.5870646766169154,0.15965626413387607,0.20759837177747625,0.19357756671189508,0.04206241519674356,0.1917684305744007
25,017,310601,2,2751,2137,2057,154,367,353,138,730,25,017,310601,2,250173106012,0.7768084332969829,0.7477280988731371,0.05597964376590331,0.13340603416939295,0.12831697564521993,0.05016357688113413,0.2653580516175936
25,017,310601,3,784,598,521,104,94,88,39,203,25,017,310601,3,250173106013,0.7627551020408163,0.6645408163265306,0.1326530612244898,0.11989795918367346,0.11224489795918367,0.04974489795918367,0.25892857142857145
25,017,310602,1,1693,1070,1004,159,359,330,106,340,25,017,310602,1,250173106021,0.6320141760189013,0.5930301240401654,0.0939161252215003,0.21204961606615474,0.19492025989367986,0.06261075014766686,0.20082693443591257
25,017,310602,2,1799,1495,1411,185,118,109,77,342,25,017,310602,2,250173106022,0.831017231795442,0.7843246247915509,0.1028349082823791,0.06559199555308505,0.06058921623123958,0.042801556420233464,0.19010561423012784
25,017,310602,3,604,455,399,86,64,62,46,127,25,017,310602,3,250173106023,0.7533112582781457,0.6605960264900662,0.1423841059602649,0.10596026490066225,0.10264900662251655,0.076158940397351,0.21026490066225165
25,017,310602,4,1729,1336,1262,137,200,193,132,487,25,017,310602,4,250173106024,0.772700983227299,0.7299016772700984,0.07923655292076345,0.1156737998843262,0.11162521688837479,0.07634470792365529,0.2816657027183343
25,017,310700,1,1536,775,687,322,401,392,82,182,25,017,310700,1,250173107001,0.5045572916666666,0.447265625,0.20963541666666666,0.2610677083333333,0.2552083333333333,0.053385416666666664,0.11848958333333333
25,017,310700,2,1142,691,649,138,256,244,57,72,25,017,310700,2,250173107002,0.6050788091068301,0.5683012259194395,0.12084063047285463,0.22416812609457093,0.2136602451838879,0.049912434325744305,0.06304728546409807
25,017,310700,3,1763,801,723,316,549,535,119,169,25,017,310700,3,250173107003,0.45433919455473626,0.4100964265456608,0.17923993193420307,0.31140102098695405,0.3034600113442995,0.06749858196256381,0.09585933068633012
