state,county,tract,block,P0010001,P0030002,P0050003,P0040003,P0070006,P0030005,P0030003,H0160002,state,county,tract,block,geoid,prop_white,prop_white_not_hisp,prop_hisp_lat,prop_cambodian,prop_asian,prop_black_afr_am,prop_owner_occ
25,017,300100,1000,54,54,54,0,0,0,0,18,25,017,300100,1000,250173001001000,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333
25,017,300100,1001,0,0,0,0,0,0,0,0,25,017,300100,1001,250173001001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1002,26,26,26,0,0,0,0,9,25,017,300100,1002,250173001001002,1.0,1.0,0.0,0.0,0.0,0.0,0.34615384615384615
25,017,300100,1003,32,32,32,0,0,0,0,11,25,017,300100,1003,250173001001003,1.0,1.0,0.0,0.0,0.0,0.0,0.34375
25,017,300100,1004,0,0,0,0,0,0,0,0,25,017,300100,1004,250173001001004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1005,42,40,40,0,0,0,0,18,25,017,300100,1005,250173001001005,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,0.42857142857142855
25,017,300100,1006,0,0,0,0,0,0,0,0,25,017,300100,1006,250173001001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1007,100,98,98,1,0,0,1,30,25,017,300100,1007,250173001001007,0.98,0.98,0.01,0.0,0.0,0.01,0.3
25,017,300100,1008,0,0,0,0,0,0,0,0,25,017,300100,1008,250173001001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1009,0,0,0,0,0,0,0,0,25,017,300100,1009,250173001001009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1010,0,0,0,0,0,0,0,0,25,017,300100,1010,250173001001010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1011,7,7,7,0,0,0,0,2,25,017,300100,1011,250173001001011,1.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857
25,017,300100,1012,42,42,42,0,0,0,0,13,25,017,300100,1012,250173001001012,1.0,1.0,0.0,0.0,0.0,0.0,0.30952380952380953
25,017,300100,1013,0,0,0,0,0,0,0,0,25,017,300100,1013,250173001001013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1014,0,0,0,0,0,0,0,0,25,017,300100,1014,250173001001014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1015,0,0,0,0,0,0,0,0,25,017,300100,1015,250173001001015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1016,13,13,13,0,0,0,0,5,25,017,300100,1016,250173001001016,1.0,1.0,0.0,0.0,0.0,0.0,0.38461538461538464
25,017,300100,1017,4,4,4,0,0,0,0,2,25,017,300100,1017,250173001001017,1.0,1.0,0.0,0.0,0.0,0.0,0.5
25,017,300100,1018,0,0,0,0,0,0,0,0,25,017,300100,1018,250173001001018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1019,171,162,161,2,1,0,2,55,25,017,300100,1019,250173001001019,0.9473684210526315,0.9415204678362573,0.011695906432748537,0.005847953216374269,0.0,0.011695906432748537,0.3216374269005848
25,017,300100,1020,0,0,0,0,0,0,0,0,25,017,300100,1020,250173001001020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1021,0,0,0,0,0,0,0,0,25,017,300100,1021,250173001001021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1022,27,25,25,0,2,2,0,9,25,017,300100,1022,250173001001022,0.9259259259259259,0.9259259259259259,0.0,0.07407407407407407,0.07407407407407407,0.0,0.3333333333333333
25,017,300100,1023,0,0,0,0,0,0,0,0,25,017,300100,1023,250173001001023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,017,300100,1024,125,121,120,1,0,0,0,40,25,017,300100,1024,250173001001024,0.968,0.96,0.008,0.0,0.0,0.0,0.32
25,017,300100,1025,8,8,8,0,0,0,0,2,25,017,300100,1025,250173001001025,1.0,1.0,0.0,0.0,0.0,0.0,0.25
