state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
28,001,000100,7602,4741,3526,1896,36,2129,1823,28,001,000100,28001000100,7602,0.6236516706129965,0.2494080505130229,0.004735595895816891,0.2800578795053933,0.23980531439094974
28,001,000200,4126,664,644,37,0,3410,1328,28,001,000200,28001000200,4126,0.16093068347067377,0.00896752302472128,0.0,0.8264663111972855,0.32186136694134754
28,001,000300,2087,78,75,18,1,1995,545,28,001,000300,28001000300,2087,0.037374221370388115,0.008624820316243412,0.0004791566842357451,0.9559175850503114,0.26114039290848107
28,001,000400,3208,64,63,16,4,3090,509,28,001,000400,28001000400,3208,0.0199501246882793,0.004987531172069825,0.0012468827930174563,0.963216957605985,0.15866583541147133
28,001,000500,3607,1513,1500,66,14,1985,987,28,001,000500,28001000500,3607,0.41946215691710564,0.018297754366509565,0.0038813418353202105,0.5503188245079013,0.27363459939007484
28,001,000600,2211,1226,1213,20,4,944,640,28,001,000600,28001000600,2211,0.5545002261420172,0.009045680687471733,0.0018091361374943465,0.42695612844866576,0.28946178199909545
28,001,000700,1783,1077,1060,33,9,667,555,28,001,000700,28001000700,1783,0.604038137969714,0.018508132361189006,0.005047672462142457,0.3740886146943354,0.31127313516545146
28,001,000800,3456,1174,1170,13,18,2221,957,28,001,000800,28001000800,3456,0.33969907407407407,0.003761574074074074,0.005208333333333333,0.6426504629629629,0.2769097222222222
28,001,000900,4217,3256,3234,51,41,846,1279,28,001,000900,28001000900,4217,0.7721128764524543,0.012093905620109082,0.009722551576950438,0.20061655205122125,0.3032961821199905
28,003,950100,5606,5346,5327,50,22,135,1733,28,003,950100,28003950100,5606,0.9536211202283268,0.008919015340706386,0.00392436674991081,0.024081341419907244,0.3091330717088833
28,003,950200,6911,5256,5136,362,26,1295,1947,28,003,950200,28003950200,6911,0.7605266965706844,0.05238026334828534,0.003762118362031544,0.18738243380118652,0.2817247865721314
28,003,950300,3643,3153,3109,132,39,330,894,28,003,950300,28003950300,3643,0.8654954707658523,0.03623387318144387,0.010705462530881142,0.09058468295360966,0.2454021410925062
28,003,950400,5559,5449,5427,52,4,41,1796,28,003,950400,28003950400,5559,0.980212268393596,0.009354200395754632,0.0007195538765965102,0.007375427235114229,0.32307969059183306
28,003,950500,6586,4316,4211,321,10,1952,1345,28,003,950500,28003950500,6586,0.6553294867901609,0.048739750986942,0.0015183723048891589,0.2963862739143638,0.20422107500759187
28,003,950600,4477,4381,4369,38,10,13,1379,28,003,950600,28003950600,4477,0.9785570694661604,0.008487826669644852,0.002233638597274961,0.002903730176457449,0.3080187625642171
28,003,950700,4275,3755,3734,55,6,455,1385,28,003,950700,28003950700,4275,0.8783625730994152,0.012865497076023392,0.0014035087719298245,0.1064327485380117,0.32397660818713453
28,005,950100,4490,3048,3035,28,7,1397,1492,28,005,950100,28005950100,4490,0.6788418708240535,0.0062360801781737195,0.0015590200445434299,0.3111358574610245,0.3322939866369711
28,005,950200,3632,2109,2082,39,3,1486,1238,28,005,950200,28005950200,3632,0.5806718061674009,0.010737885462555066,0.0008259911894273128,0.4091409691629956,0.3408590308370044
28,005,950300,5009,2417,2399,43,2,2544,1739,28,005,950300,28005950300,5009,0.48253144340187665,0.008584547813934917,0.0003992812936713915,0.50788580555001,0.3471750848472749
28,007,060100,2985,2132,2105,59,2,803,1011,28,007,060100,28007060100,2985,0.7142378559463987,0.019765494137353432,0.0006700167504187605,0.26901172529313233,0.33869346733668343
28,007,060200,2619,2042,2024,58,2,516,882,28,007,060200,28007060200,2619,0.7796869033982436,0.022145857197403588,0.0007636502481863307,0.1970217640320733,0.33676975945017185
28,007,060300,3421,1339,1312,34,3,2060,1095,28,007,060300,28007060300,3421,0.391406021631102,0.009938614440222157,0.0008769365682548962,0.6021631102016954,0.32008184741303713
28,007,060400,2998,2089,2082,11,6,881,1043,28,007,060400,28007060400,2998,0.6967978652434956,0.003669112741827885,0.0020013342228152103,0.2938625750500334,0.34789859906604403
28,007,060500,3855,1790,1752,100,20,1955,1040,28,007,060500,28007060500,3855,0.46433203631647213,0.02594033722438392,0.005188067444876783,0.5071335927367056,0.2697795071335927
28,007,060600,3686,1608,1591,61,21,1993,716,28,007,060600,28007060600,3686,0.4362452523060228,0.016549104720564298,0.0056972327726532825,0.5406945198046663,0.19424850786760717
28,009,950100,6062,3077,3026,124,5,2847,1945,28,009,950100,28009950100,6062,0.5075882547014187,0.02045529528208512,0.0008248102936324645,0.4696469811943253,0.3208512042230287
28,009,950200,2667,2207,2203,24,1,405,753,28,009,950200,28009950200,2667,0.8275215598050244,0.008998875140607425,0.0003749531308586427,0.15185601799775028,0.2823397075365579
28,011,950100,3805,511,487,76,1,3230,757,28,011,950100,28011950100,3805,0.1342969776609724,0.01997371879106439,0.00026281208935611036,0.8488830486202366,0.19894875164257556
28,011,950200,3110,475,473,19,6,2596,634,28,011,950200,28011950200,3110,0.1527331189710611,0.006109324758842444,0.0019292604501607716,0.8347266881028939,0.20385852090032155
28,011,950300,3168,272,263,39,12,2853,733,28,011,950300,28011950300,3168,0.08585858585858586,0.01231060606060606,0.003787878787878788,0.9005681818181818,0.23137626262626262
28,011,950400,4709,1151,1134,56,12,3496,1049,28,011,950400,28011950400,4709,0.24442556806115948,0.011892121469526439,0.002548311743469951,0.7424081545975791,0.2227649182416649
28,011,950500,5178,2564,2507,236,25,2374,1277,28,011,950500,28011950500,5178,0.4951718810351487,0.04557744302819621,0.004828118964851294,0.4584781769022789,0.2466203167246041
28,011,950600,6632,5676,5608,109,124,714,1660,28,011,950600,28011950600,6632,0.8558504221954162,0.01643546441495778,0.018697225572979495,0.10765983112183354,0.2503015681544029
28,011,950701,4215,529,506,80,7,3611,591,28,011,950701,28011950701,4215,0.12550415183867142,0.018979833926453145,0.00166073546856465,0.8567022538552788,0.1402135231316726
28,011,950702,3328,268,263,24,2,3046,613,28,011,950702,28011950702,3328,0.08052884615384616,0.007211538461538462,0.0006009615384615385,0.9152644230769231,0.18419471153846154
28,013,950100,4098,3527,3486,114,7,438,1336,28,013,950100,28013950100,4098,0.86066373840898,0.027818448023426062,0.001708150317227916,0.10688140556368961,0.3260126891166423
28,013,950200,1724,785,766,64,3,879,365,28,013,950200,28013950200,1724,0.45533642691415316,0.037122969837587005,0.0017401392111368909,0.509860788863109,0.2117169373549884
